
 Lista de Imóveis da Caixa;;Data de geração:;14/08/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444404694943 ;MG ;CONTAGEM ;BELA VISTA ;R PROFESSOR AURELIANO ZANON, N. 270, Apto 202, ;91.570,92;150.000,00;38.96;Não;Apartamento, 40.00 de área total, 37.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404694943
 8787717894570 ;MG ;CONTAGEM ;COLONIAL ;RUA PINHO, N. 270, Apto 202, BL 01, QD 06, LT 10 ;159.811,47;261.000,00;38.77;Não;Apartamento, 75.02 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717894570
 8787719521843 ;MG ;CONTAGEM ;PARQUE RIACHO DAS PEDRAS ;RUA RIO PARANAGUA, N. 255, Apto 1705, BLOCO 03 ;257.397,85;420.375,57;38.77;Não;Apartamento, 81.55 de área total, 46.37 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719521843
 8444406318256 ;MG ;CONTAGEM ;OITIS ;RUA VINTE E UM, N. 120, Apto 403, BLOCO 03 ;105.610,35;171.000,00;38.24;Não;Apartamento, 44.35 de área total, 41.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406318256
 1787701839312 ;MG ;CONTAGEM ;CHACARA CONTAGEM ;RUA DO SILENCIO, N. 1100, Apto 803, TR 04 VG 24 ;135.326,01;215.000,00;37.06;Não;Apartamento, 63.54 de área total, 43.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701839312
 1787701919383 ;MG ;CONTAGEM ;JK ;AVENIDA MARECHAL CASTELO BRANCO, N. 185, Apto 1005, BL 01 ;191.194,29;300.000,00;36.27;Não;Apartamento, 0.00 de área total, 46.37 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701919383
 1787702110146 ;MG ;CONTAGEM ;PARQUE RIACHO DAS PEDRAS ;RUA RIO PARANAGUA, N. 255, Apto 201, BL 02 VG 163 ;165.701,72;260.000,00;36.27;Não;Apartamento, 71.20 de área total, 46.37 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702110146
 1787701882706 ;MG ;CONTAGEM ;FAZENDA BOM JESUS ;RUA JOSE SOARES DA COSTA NETO, N. 295, Apto 404, BL 15 ;157.277,87;235.000,00;33.08;Não;Apartamento, 0.00 de área total, 43.84 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701882706
 8444436190959 ;MG ;CONTAGEM ;DONATO ;VIA DE ACESSO, N. 675, Apto 201, BL 05 GL 02 ;114.610,06;150.000,00;23.60;Não;Apartamento, 0.00 de área total, 43.50 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436190959
 8787715161770 ;MG ;CONTAGEM ;LUGAR DENOMINADO FAZENDA BOM JESUS ;RUA JOSE SOARES DA COSTA NETO, N. 295, Apto 301, BL 05 ;171.543,70;206.000,00;16.73;Não;Apartamento, 84.88 de área total, 43.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715161770
 1787702430000 ;MG ;CONTAGEM ;PARQUE RIACHO DAS PEDRAS ;RUA RIO PARANAGUA, N. 255, Apto 1307, BL 03 ;350.230,41;400.000,00;12.45;Não;Apartamento, 92.07 de área total, 53.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702430000
 8787715044455 ;MG ;CONTAGEM ;LUGAR DENOMINADO FAZENDA BOM JESUS ;RUA JOSE SOARES DA COSTA NETO, N. 295, Apto 201, BL 05 ;160.435,95;178.000,00;9.87;Não;Apartamento, 95.23 de área total, 43.84 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715044455
 8787715683628 ;MG ;CONTAGEM ;ESTRELA DALVA ;RUA 18, N. 185, Apto 402, BL 09 ;184.044,14;204.000,00;9.79;Não;Apartamento, 89.31 de área total, 42.41 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715683628
 8787717502795 ;MG ;CONTAGEM ;CIDADE INDUSTRIAL ;AVENIDA MARECHAL CASTELO BRANCO, N. 185, Apto 1602, BL 03 LT 01 QD 54 ;383.515,36;414.000,00;7.37;Não;Apartamento, 110.23 de área total, 75.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717502795
 1444400608378 ;MG ;CONTAGEM ;NOVO ELDORADO ;AVENIDA DOUTOR GUILHERMINO DE OLIVEIRA, N. 171, CS 01  LT 33  QD 25 ;300.000,00;300.000,00;0.00;Não;Casa, 0.00 de área total, 51.84 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400608378
 8787712383232 ;MG ;CONTAGEM ;CAIAPOS ;RUA MINAS GERAIS, N. 100, Apto 401, BL 20 VG 228 ;180.000,00;180.000,00;0.00;Não;Apartamento, 61.31 de área total, 43.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712383232
 8787710194335 ;MG ;CONTAGEM ;CHACARAS CALIFORNIA ;RUA JOAO ROSA, N. 65, Apto 804, BL 03 ;207.000,00;207.000,00;0.00;Não;Apartamento, 94.43 de área total, 48.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710194335
 8242700010906 ;MG ;CONTAGEM ;SAPUCAIA ;RUA DOS ANTURIOS, N. 280, Apto 403, BL 04 LT 1A QD 23 ;151.000,00;151.000,00;0.00;Não;Apartamento, 0.00 de área total, 44.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8242700010906
 1787702112947 ;MG ;CONTAGEM ;PARQUE RIACHO DAS PEDRAS ;RUA RIO PARANAGUA, N. 255, Apto 508,  BLOCO 01 ;307.000,00;307.000,00;0.00;Não;Apartamento, 81.55 de área total, 46.37 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702112947
 8787713311111 ;MG ;CONTAGEM ;LUGAR DENOMINADO FAZENDA BOM JESUS ;RUA EUGENIO TOLEDO LOPES, N. 100, Apto 404, BL 02 ;190.000,00;190.000,00;0.00;Não;Apartamento, 88.54 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713311111
 8787714458787 ;MG ;CONTAGEM ;LUGAR DENOMINADO FAZENDA BOM JESUS ;RUA JOSE SOARES DA COSTA NETO, N. 295, Apto 401, BL 15 ;188.000,00;188.000,00;0.00;Não;Apartamento, 95.23 de área total, 43.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714458787
 8787715236656 ;MG ;CONTAGEM ;LUGAR DENOMINADO FAZENDA BOM JESUS ;RUA JOSE SOARES DA COSTA NETO, N. 295, Apto 404, BL 02 ;205.000,00;205.000,00;0.00;Não;Apartamento, 95.23 de área total, 43.84 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715236656
 8787715503638 ;MG ;CONTAGEM ;PRAIA ; RUA NOSSA SENHORA DA CONCEICAO, N. 1670, Apto 403, BLOCO 6A ;200.061,17;200.000,00;0.00;Não;Apartamento, 75.70 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715503638
 8787716293866 ;MG ;CONTAGEM ;CHACARA CONTAGEM ;RUA DO SILENCIO, N. 1100, Apto 1201,  TORRE 07 ;216.552,66;207.000,00;0.00;Não;Apartamento, 74.00 de área total, 43.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716293866
 8787710563233 ;MG ;CONTAGEM ;DONATO ;VIA DE ACESSO, N. 375, Apto 201, BL 01 ;170.028,06;155.000,00;0.00;Não;Apartamento, 60.73 de área total, 43.50 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710563233
 8787715911728 ;MG ;CONTAGEM ;PRAIA ; RUA NOSSA SENHORA DA CONCEICAO, N. 1670, Apto 401, BLOCO 3A LOTE 04 QUADRA 01 ;267.050,00;200.000,00;0.00;Não;Apartamento, 75.70 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715911728
 1169700001602 ;MG ;COROMANDEL ;UNIAO ;RUA ARTHUR BERNARDES, N. 1817, Apto 101, UN 02 LT 15 QD 37 ST 06 ;154.200,00;257.000,00;40.00;Não;Apartamento, 204.23 de área total, 134.67 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1169700001602
 10305195 ;MG ;COROMANDEL ;UNIAO ;AVENIDA JOSE CARNEIRO DE MENDONCA, N. 583, STR 6  QD 32  LT 570 ;227.000,00;227.000,00;0.00;Não;Casa, 0.00 de área total, 52.50 de área privativa, 258.75 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10305195
 8444431137154 ;MG ;COROMANDEL ;JD DE DONA LUCINHA 2 ;RUA PEDRINHO PEREIRA, N. 640, QD 24 SETOR 12 ;210.788,92;120.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 250.02 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431137154
 1444407255462 ;MG ;CORONEL FABRICIANO ;SYLVIO PEREIRA I ;RUA PROF TEREZA LEOPOLDINA DOS ANJOS, N. 162, LT 07 QD 07 ;113.021,61;183.000,00;38.24;Não;Casa, 76.42 de área total, 21.31 de área privativa, 147.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407255462
 8233200010967 ;MG ;CORONEL FABRICIANO ;BOM JESUS ;RUA AUGUSTA, N. 300, Apto 302, ;116.443,31;185.000,00;37.06;Não;Apartamento, 91.82 de área total, 91.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8233200010967
 1444414139642 ;MG ;CORONEL FABRICIANO ;AMARO LANARI ;RUA GOIAS, N. 26, LT 03 QD 05 ;450.000,00;450.000,00;0.00;Não;Casa, 220.00 de área total, 220.00 de área privativa, 345.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414139642
 1444414705745 ;MG ;CORONEL FABRICIANO ;AMARO LANARI ;RUA RIO DE JANEIRO, N. 30, Apto 401,  BLOCO A4 ;244.000,00;244.000,00;0.00;Não;Apartamento, 83.55 de área total, 65.90 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414705745
 8787717146778 ;MG ;CRISTAIS ;CRISTAIS ; RUA SANTINA MARIA DE JESUS, N. 515, QD 01 QD 16 ;78.922,48;136.244,00;42.08;Não;Casa, 46.00 de área total, 46.00 de área privativa, 216.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717146778
 8444409080145 ;MG ;DELTA ;CIDADE DELTA ; RUA FERNANDO DONIZETE GONZAGA, N. 219, QD 48 LT 24 ;52.102,60;90.000,00;42.11;Não;Casa, 57.88 de área total, 57.88 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409080145
 8787701690058 ;MG ;DIVINOPOLIS ;FAZ GAFANHOTO ;RUA MARAJUARAS, N. 1051, Apto 03, BL 06 VG 142 ;64.417,88;112.731,78;42.86;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701690058
 8787710032955 ;MG ;DIVINOPOLIS ;CENTRO ; RUA MARAJUARAS, N. 1051, Apto 02, QD 222, BL13, LT 650 ;63.428,30;111.000,00;42.86;Não;Apartamento, 119.90 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710032955
 8787704301869 ;MG ;DIVINOPOLIS ;FAZENDA GAFANHOTO ;RUA MARAJUARAS, N. 1051, Apto 04, BL 12 ;68.502,47;119.501,94;42.68;Não;Apartamento, 119.90 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704301869
 8787710451311 ;MG ;DIVINOPOLIS ;FAZENDA GAFANHOTO ;RUA MARAJUARAS, N. 1051, Apto 02, BL 01 VG 02 ;68.502,47;119.501,94;42.68;Não;Apartamento, 124.01 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710451311
 8444417081686 ;MG ;DIVINOPOLIS ;MARIA PECANHA ; AVENIDA BRIGADEIRO EDUARDO GOMES, N. SN, Apto 661, LT 240 QD 103 ;69.934,44;122.000,00;42.68;Não;Apartamento, 66.97 de área total, 66.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417081686
 8555537767927 ;MG ;DIVINOPOLIS ;JARDIM CANDIDES ; RUA MARAJUARAS, N. 1051, Apto 13, BL 02 ;68.787,97;120.000,00;42.68;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno, a.serv, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537767927
 8555537756445 ;MG ;DIVINOPOLIS ;IPANEMA ; RUA MARAJUARAS, N. 1051, Apto 218, BLOCO 02 ;70.221,05;122.500,00;42.68;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537756445
 8787701501450 ;MG ;DIVINOPOLIS ;IPANEMA ; RUA MARAJUARAS, N. 1051, Apto 13,  SUB 77 BL 05 ;70.221,05;122.500,00;42.68;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno, a.serv, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701501450
 8787704256197 ;MG ;DIVINOPOLIS ;FABIO NOTINI ;RUA MARAJUARAS, N. 1051, Apto 15, BL 10 ;70.221,05;122.500,00;42.68;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704256197
 8787704703282 ;MG ;DIVINOPOLIS ;GAFANHOTO ; RUA MARAJUARAS, N. 1051, Apto 14, BL 12 2 PAV LT 650 QD 222 Z43 ;70.221,05;122.500,00;42.68;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704703282
 8444413580602 ;MG ;DIVINOPOLIS ;JARDINOPOLIS ;RUA GAMELEIRA, N. 561, ;79.459,06;137.170,30;42.08;Não;Casa, 98.40 de área total, 42.43 de área privativa, 270.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413580602
 8444414063075 ;MG ;DIVINOPOLIS ;JARDIM CANDIDES ;RUA XINGUS, N. SN, Apto 538,  PAV 2 SUB LOTE 002 ;79.939,69;138.000,00;42.08;Não;Apartamento, 95.81 de área total, 66.49 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414063075
 8787701138290 ;MG ;DIVINOPOLIS ;RESIDENCIAL SAO FREI GALVAO ;RUA ANTONIO CAMPOS BAHIA, N. 430, SUB LT 368 LT 184 QD 368 ZONA 043 ;74.984,50;129.445,85;42.08;Não;Casa, 43.37 de área total, 43.37 de área privativa, 175.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701138290
 8555537485700 ;MG ;DIVINOPOLIS ;FAZENDA GAFANHOTO ;RUA MARAJUARAS, N. 1051, Apto 05,  QUADRA 222, LOTE 650, 1º PAV, ZONA 04 ;86.648,52;148.000,00;41.46;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537485700
 8787701270962 ;MG ;DIVINOPOLIS ;FAZENDA GAFANHOTO ;RUA MARAJUARAS, N. 1051, Apto 05, ;86.648,52;148.000,00;41.46;Não;Apartamento, 48.44 de área total, 45.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701270962
 8444435862643 ;MG ;DIVINOPOLIS ;COPACABANA ;RUA GUALTER TEIXEIRA MALTA, N. 1037, LT 280 QD 064 ZN 53 ;106.667,03;180.000,00;40.75;Não;Casa, 105.50 de área total, 39.00 de área privativa, 187.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435862643
 8555536849717 ;MG ;DIVINOPOLIS ;FAZENDA PONTAL ;RUA SAO PEDRO, N. 189, Apto 201, BL 4 SUB LT 15 ;92.285,18;155.730,71;40.75;Não;Apartamento, 107.09 de área total, 49.75 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536849717
 8444423678060 ;MG ;DIVINOPOLIS ;JARDIM CANDIDES ;RUA MARAJUARAS, N. SN, Apto 1379, BL 02 TERREO LT 86 QD 44 ZN 43 ;114.892,90;190.089,89;39.56;Não;Apartamento, 0.00 de área total, 61.55 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423678060
 8444402461488 ;MG ;DIVINOPOLIS ;MANGABEIRAS ;AVENIDA ORION, N. 219F, LT 274 QD 054 ;111.168,79;180.000,00;38.24;Não;Casa, 0.00 de área total, 55.54 de área privativa, 315.60 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402461488
 1444409731253 ;MG ;DIVINOPOLIS ;VALE DO SOL ;RUA BRUXELAS, N. 190, LT 207 QD 022 ZN 036 ;156.142,00;245.000,00;36.27;Não;Casa, 0.00 de área total, 109.69 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409731253
 8444408964716 ;MG ;DIVINOPOLIS ;JARDINOPOLIS ;RUA IPE, N. 441, SUBLOTE 002 LOTE 164 QUADRA 182 ZONA 0 ;135.000,00;135.000,00;0.00;Não;Casa, 0.00 de área total, 52.52 de área privativa, 122.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408964716
 8444421377314 ;MG ;DIVINOPOLIS ;PADRE EUSTAQUIO ;RUA ATENAS, N. SN, Apto 691, BL 01 2 PAV LT 352 QD 306 ;135.000,00;135.000,00;0.00;Não;Apartamento, 63.16 de área total, 63.16 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421377314
 8555539273107 ;MG ;DIVINOPOLIS ;INTERLAGOS ;RUA JESUS JOTA, N. 1501, Apto 304, BLOCO 09 SUBLOTE 140 ;145.608,45;145.608,45;0.00;Não;Apartamento, 87.90 de área total, 42.83 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539273107
 8444430079835 ;MG ;DIVINOPOLIS ;REALENGO ;RUA SOLDADO DOMINGOS BRANDAO, N. 640, Apto 304, BL 03 SUBLOTE 044 ;185.000,00;185.000,00;0.00;Não;Apartamento, 68.11 de área total, 48.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430079835
 8444437555039 ;MG ;DIVINOPOLIS ;SANTA LUCIA ;RUA NECESIO DO NASCIMENTO BARRETO, N. 106-F, SUBLOTE 002 LT 136 QD 246 ZN 036 ;190.000,00;190.000,00;0.00;Não;Casa, 48.52 de área total, 48.52 de área privativa, 157.78 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437555039
 8787701212520 ;MG ;DIVINOPOLIS ;RESIDENCIAL SAO FREI GALVAO ;RUA ARISTIDES ALVES RODRIGUES, N. 141, RUA 10 QD 373 ZONA 43 LT 156 SUBLT 373 ;152.500,00;152.500,00;0.00;Não;Casa, 43.00 de área total, 43.00 de área privativa, 170.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701212520
 8787709389136 ;MG ;DIVINOPOLIS ;RESIDENCIAL SAO FREI GALVAO ;RUA DURCELINA DE MORAIS, N. 20, SUBLOTE 000 LOTE 200 QUADRA 403 ZONA 4 ;108.000,00;108.000,00;0.00;Não;Casa, 45.29 de área total, 45.29 de área privativa, 171.12 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709389136
